name,lat,lon,celsius_temp_min,celsius_temp_max,sys_country
Itanagar,27.43,93.29,15,15,IN
Wales,65.63,-168.43,-0.9,-0.5,US
Eagar,33.78,-109.38,8.4,9.6,US
Condeúba,-14.67,-41.98,20.2,20.2,BR
El Oued Province,32.19,7.35,43.8,43.8,DZ
Murzuk,25.53,12.98,37,37,LY
Berëzovaya,54.95,92.91,14.1,14.1,RU
Daniel's Harbour,50.3,-57.84,9,9,CA
Phek,25.3,95,26.4,26.4,IN
Ryazansk,56.6,79.77,22.6,22.6,RU
Gaotangling,28.44,112.79,23.6,23.6,CN
Omaruru,-21.04,15.91,24.5,24.5,NA
Newman,-22.63,119.73,22.7,22.7,AU
Igloolik,70.61,-82.54,-3.9,-3.9,CA
La Ciotat,42.12,5.04,18.9,18.9,FR
Drovyanoy,71.94,74.36,0.4,0.4,RU
Ouranoupoli,40.35,24.09,23.2,23.2,GR
Oasis,39.08,-112.57,18.1,18.1,US
Gia Lai,13.69,108.02,23.7,23.7,VN
Nieuwoudtville,-31.11,19.14,22.1,22.1,ZA
Nunavut,70.8,-89.41,-0.5,-0.5,CA
Pevek,70.26,170.24,-0.1,-0.1,RU
Pevek,69.84,166.76,0.1,0.1,RU
Oeiras,-7.03,-41.8,23.2,23.2,BR
Río Grande,-52.76,-67.82,4.3,4.3,AR
Vista Heights,43.59,-79.72,11.4,12.9,CA
Gondiā,21.45,80.12,40.6,40.6,IN
Entuziastov,70.86,136.91,17,17,RU
Dame-Marie,18.78,-74.64,28.2,28.2,HT
Ambato Boeny,-16.56,46.43,31.3,31.3,MG
Subexi,40.66,77.44,12.9,12.9,CN
Sinazongwe,-17.19,27.68,23.2,23.2,ZM
Longanio,-1.35,22.71,32.2,32.2,CD
Petrokamenskoye,57.56,60.73,19.3,19.3,RU
La Grande-4,53.27,-74.78,6.6,6.6,CA
Mould Bay,75.96,-117.76,-0.7,-0.7,CA
Gillam,57.14,-95,7.5,7.5,CA
Altay sumu,45.5,92.21,29.2,29.2,MN
Lamae,9.83,99.26,27,27,TH
Crooked Turn,53.13,-97.73,8.6,8.6,CA
El Goléa,30.5,3.66,41.8,41.8,DZ
Waqqāş,32.51,35.66,35.2,35.2,JO
Westland District,-43.1,169.3,11.4,11.4,NZ
Göle,40.9,42.45,16.9,16.9,TR
Río Gallegos,-52.01,-69.21,1.3,1.3,AR
Kumul,43.24,93.07,28.4,28.4,CN
Clark,44.73,-90.72,5.6,5.6,US
Bedford,40.75,-94.63,10.7,13.3,US
Muḩāfaz̧at al Muthanná,29.77,44.57,46,46,IQ
Vanino,49.49,140.64,8.4,8.4,RU
Chernyshevskiy,63.44,110.18,22.7,22.7,RU
Schefferville,54.23,-67.54,9.7,9.7,CA
Eagle Village,64.64,-139.86,8.8,8.8,US
Upernavik,72.88,-55.42,0.4,0.4,GL
Sel’tso,56.45,40.37,23.3,23.6,RU
Paranhos,-23.64,-55.35,18.4,18.4,BR
Debbat Nabaqaya,11.88,32.8,30.6,30.6,SS
Chokurdakh,70.09,144.48,15,15,RU
Bienville,32.4,-93.11,21.7,23.8,US
Debre Werk’,10.63,38.47,34.5,34.5,ET
Barrio Almirante Brown,-54.99,-68.2,-2.2,-2.2,AR
Villasimius,39.05,9.9,21.5,21.5,IT
Casa Nova,-9.71,-41.05,24.1,24.1,BR
Inguiniel,47.94,-3.24,15.9,17.3,FR
Pacora,8.99,-79.14,25.1,26.1,PA
Ocher,57.88,54.23,22.1,22.1,RU
Poyarkovo,49.53,128.45,18.4,18.4,RU
Bu’aale,1.05,41.67,34.3,34.3,SO
Zaire Province,-6.25,13.37,33.5,33.5,AO
Kucha,41.2,84.29,35.5,35.5,CN
Uíge,-7.18,14.41,34.1,34.1,AO
Carpentaria,-17.36,141.77,20.9,20.9,AU
Portavogie,54.42,-5.32,13.7,14,GB
Antarctica,-77.69,11.25,-51.8,-51.8,
Safakulevo,54.44,62.5,21.5,21.5,RU
Sainte-Marie,46.47,-70.96,11.9,13,CA
Daşoguz Welaýaty,40.96,58.55,40.1,40.1,TM
Isla Verde,-28.88,-63.98,16.5,16.5,AR
Robertsport,6.31,-11.65,27.3,27.3,LR
Isachsen,79.47,-98.66,-1.5,-1.5,CA
Medora,47.01,-103.48,13,13.6,US
Manuguru,18.21,80.82,35.2,35.2,IN
Kugluktuk,67.93,-112.3,1.1,1.1,CA
Rock House,40.15,-115.38,14.4,14.4,US
Ross River,62.35,-131.48,11.6,11.6,CA
Roraima,0.93,-61.18,23.8,23.8,BR
Achada,39.48,-27.94,18.7,18.7,PT
Karanggedang,-7.68,116.39,28.1,28.1,ID
Es Caló des Moro,39.04,1.02,24,25.8,ES
Good Harbour,52.07,-99.82,6.9,6.9,CA
Bayanbulag,45.41,98.76,23.6,23.6,MN
Ongerup,-34.01,118.83,13.4,13.4,AU
Longlou,18.9,111.96,29,29,CN
Fabre,46.98,-79.66,3.9,3.9,CA
Powiat kaliski,51.81,18.26,22.2,22.2,PL
Faro (Sé),36.65,-7.98,21,21,PT
Huíla Province,-15.2,14.48,28.8,28.8,AO
Lospalos,-8.54,128.17,26.9,26.9,TL
Atar,21.34,-13.64,35.5,35.5,MR
Christian Island,45.05,-80.58,8.5,8.5,CA
Lāsh-e Juwayn,31.61,61.15,37.7,37.7,AF
Apolinario Saravia,-24.68,-63.46,17.6,17.6,AR
Minami,25.86,141.03,26.3,26.3,JP
Iranshahr,27.09,60.64,42.2,42.2,IR
Prudhoe Bay,71.24,-146.12,-2,-2,US
